date_time,storage,inflow,withdr,outflow,withdr_req,rel_req,available
2019-07-19,3787,5,0,5,0,0,3792
2019-07-20,3787,5,0,5,0,0,3792
2019-07-21,3787,5,0,5,0,0,3792
2019-07-22,3787,3,0,3,0,0,3790
2019-07-23,3787,3,0,3,0,0,3790
2019-07-24,3787,3,0,3,0,0,3790
2019-07-25,3787,3,0,3,0,0,3790
2019-07-26,3787,3,0,3,0,0,3790
2019-07-27,3787,3,0,3,0,0,3790
2019-07-28,3787,3,0,3,0,0,3790
2019-07-29,3787,3,0,3,0,0,3790
2019-07-30,3787,3,0,3,0,0,3790
2019-07-31,3787,13,0,13,0,0,3800
2019-08-01,3787,4,0,4,0,0,3791
2019-08-02,3787,3,0,3,0,0,3790
2019-08-03,3787,3,0,3,0,0,3790
2019-08-04,3787,3,0,3,0,0,3790
2019-08-05,3787,3,0,3,0,0,3790
2019-08-06,3787,1,0,1.12,0,0,3788
2019-08-07,3786.88,1,0,1.12,0,0,3787.88
2019-08-08,3786.76,1,0,1.12,0,0,3787.76
2019-08-09,3786.64,1,0,1.12,0,0,3787.64
2019-08-10,3786.52,4,0,3.52,0,0,3790.52
2019-08-11,3787,6,0,6,0,0,3793
2019-08-12,3787,3,0,3,0,0,3790
2019-08-13,3787,3,0,3,0,0,3790
2019-08-14,3787,3,0,3,0,0,3790
2019-08-15,3787,1,0,1.12,0,0,3788
2019-08-16,3786.88,1,0,1.12,0,0,3787.88
2019-08-17,3786.76,3,0,2.76,0,0,3789.76
2019-08-18,3787,3,0,3,0,0,3790
2019-08-19,3787,3,0,3,0,0,3790
2019-08-20,3787,2,0,2,0,0,3789
2019-08-21,3787,2,0,2,0,0,3789
2019-08-22,3787,2,0,2,0,0,3789
2019-08-23,3787,2,0,2,0,0,3789
2019-08-24,3787,2,0,2,0,0,3789
2019-08-25,3787,2,0,2,0,0,3789
2019-08-26,3787,2,0,2,0,0,3789
2019-08-27,3787,3,0,3,0,0,3790
2019-08-28,3787,2.7,0,2.7,0,0,3789.7
2019-08-29,3787,2,0,2,0,0,3789
2019-08-30,3787,2,0,2,0,0,3789
2019-08-31,3787,2,0,2,0,0,3789
2019-09-01,3787,2,0,2,0,0,3789
2019-09-02,3787,2,0,2,0,0,3789
2019-09-03,3787,1,0,1.12,0,0,3788
2019-09-04,3786.88,1,0,1.12,0,0,3787.88
2019-09-05,3786.76,0,0,1.12,0,0,3786.76
2019-09-06,3785.64,0,0,1.12,0,0,3785.64
2019-09-07,3784.52,0,0,1.12,0,0,3784.52
2019-09-08,3783.4,3,0,1.12,0,0,3786.4
2019-09-09,3785.28,2,0,1.12,0,0,3787.28
2019-09-10,3786.16,2,0,1.16,0,0,3788.16
2019-09-11,3787,2,0,2,0,0,3789
2019-09-12,3787,2,0,2,0,0,3789
2019-09-13,3787,0,0,1.12,0,0,3787
2019-09-14,3785.88,0,0,1.12,0,0,3785.88
