DateTime,FW_POT,WSSC_POT,WA_GF,WA_LF,LW_POT,LW_FW,FW_OC,WSSC_PA,LW_BR
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
DateTime,FW_POT,WSSC_POT,WA_GF,WA_LF,LW_POT,LW_FW,FW_OC,WSSC_PA,LW_BR
2020-07-11,171,163,198,0,15,35,99,88,8
2020-07-12,162,152,178,0,NA,NA,104,87,NA
2020-07-13,161,150,192,0,NA,NA,101,87,NA
2020-07-14,169,146,189,0,14,34,104,86,6
2020-07-15,175,151,201,0,14,35,100,86,6
2020-07-16,183,165,200,0,14,36,103,86,8
2020-07-17,175,165,198,0,13,36,110,86,8
2020-07-18,195,154,201,0,39,15,112,80,7
2020-07-19,198,177,201,0,12,42,104,95,6
2020-07-20,202,178,205,0,44,14,108,99,6
2020-07-21,205,177,181,45,14,42,111,94,7
2020-07-22,167,165,207,0,NA,NA,104,86,NA
2020-07-23,137,144,211,0,29,14,100,80,8
2020-07-24,121,149,185,0,21,NA,94,88,8
2020-07-25,126,135,190,0,25,13,94,87,8
2020-07-26,126,126,177,0,13,25,94,87,8
2020-07-27,159,164,181,0,34,13,94,89,7
2020-07-28,182,157,205,0,41,14,104,88,7
2020-07-29,156,163,223,0,14,35,106,85,8
2020-07-30,178,180,205,0,40,14,104,57,6
2020-07-31,166,180,206,0,NA,NA,105,101,NA
2020-08-01,108,143,189,0,23,13,98,94,9
2020-08-02,123,139,176,0,NA,NA,92,87,NA
2020-08-03,145,149,190,0,NA,NA,93,96,NA
2020-08-04,143,157,191,0,14,30,94,98,9
2020-08-05,104,133,170,0,NA,NA,95,91,NA
2020-08-06,126,144,48,128,NA,NA,89,91,NA
2020-08-07,113,140,174,11,13,21,92,91,8
2020-08-08,130,148,187,0,34,4,93,84,8
2020-08-09,147,145,172,0,NA,NA,100,76,NA
2020-08-10,147,160,180,0,NA,NA,95,76,NA
2020-08-11,163,159,195,0,7,39,98,78,9
2020-08-12,140,160,183,0,13,31,100,89,8
2020-08-13,134,156,195,0,15,27,99,89,9
2020-08-14,110,142,186,0,NA,NA,94,80,NA
2020-08-15,125,136,186,0,NA,NA,93,80,NA
2020-08-16,99,154,183,0,NA,NA,89,72,NA
2020-08-17,107,140,170,0,18,13,88,70,11
2020-08-18,117,155,161,0,14,22,87,68,10
2020-08-19,117,170,190,0,14,25,93,67,10
2020-08-20,134,152,182,0,NA,NA,92,70,NA
2020-08-21,112,159,166,0,NA,NA,93,67,NA
2020-08-22,138,163,177,0,14,29,93,62,10
2020-08-23,115,178,159,0,24,NA,93,67,10
2020-08-24,116,141,166,0,NA,NA,93,68,NA
2020-08-25,146,167,186,0,14,30,93,69,10
2020-08-26,125,160,197,0,14,26,95,72,10
2020-08-27,125,168,178,0,14,26,98,63,8
2020-08-28,124,173,204,0,14,27,95,63,8
2020-08-29,140,172,181,0,28,15,95,70,9
2020-08-30,102,139,178,0,NA,NA,91,70,NA
2020-08-31,103,150,155,0,NA,NA,89,69,NA
2020-09-01,122,158,183,0,14,22,87,70,10
2020-09-02,107,143,177,0,14,18,91,69,10
2020-09-03,104,146,177,0,13,20,90,69,9
2020-09-04,106,153,187,0,14,20,90,69,10
2020-09-05,116,153,176,0,20,12,91,70,9
2020-09-06,113,148,150,0,NA,NA,91,70,NA
2020-09-07,110,143,156,0,NA,NA,91,69,NA
2020-09-08,133,160,152,0,NA,NA,97,69,NA
2020-09-09,120,154,191,0,NA,NA,96,68,NA
2020-09-10,0,153,188,0,NA,NA,0,68,NA
2020-09-11,57,149,172,0,NA,NA,51,68,NA
2020-09-12,116,148,183,0,NA,NA,88,68,NA
2020-09-13,103,164,163,0,NA,NA,89,66,NA
2020-09-14,114,139,156,0,NA,NA,89,69,NA
2020-09-15,121,157,176,0,14,25,89,69,8
2020-09-16,124,153,166,0,NA,NA,94,70,NA
2020-09-17,120,151,166,0,14,23,88,69,8
2020-09-18,113,148,172,0,13,22,86,69,8
2020-09-19,102,149,161,0,21,14,90,69,8
2020-09-20,110,141,163,0,NA,NA,91,69,NA
2020-09-21,111,152,158,0,NA,NA,86,69,NA
2020-09-22,129,141,173,0,14,25,83,69,9
2020-09-23,129,148,172,0,14,23,82,69,9
2020-09-24,134,153,180,0,14,26,88,69,9
2020-09-25,120,151,172,0,14,23,88,69,9
2020-09-26,117,148,175,0,23,14,89,69,9
2020-09-27,98,150,180,0,NA,NA,90,68,NA
2020-09-28,101,145,166,0,NA,NA,85,68,NA
2020-09-29,108,145,157,0,NA,NA,83,69,NA
2020-09-30,118,151,173,0,NA,NA,87,70,NA
2020-10-01,96,141,165,0,NA,NA,84,70,NA
2020-10-02,115,117,165,0,11,20,81,74,9
